EndOfReference
312.966	475.503	10.9408	323.91	no	no	minion	[1]
327.889	475.503	38.976	366.86	no	no	minion	Affymetrix
377.015	475.503	45.1297	422.14	no	no	minion	microarrays,
432.288	475.503	116.555	548.84	no	no	minion	http://www.affymetrix.com/products/arrays/specific/cexpress.affx.
EndOfReference
312.965	498.418	10.9318	323.9	no	no	minion	[2]
327.879	498.418	4.82482	332.7	no	no	minion	J.
336.249	498.418	9.75724	346.01	no	no	minion	W.
349.552	498.418	24.125	373.68	no	no	minion	Taylor,
377.222	498.418	7.11574	384.34	no	no	minion	E.
387.883	498.418	26.3531	414.24	no	no	minion	Turner,
417.772	498.418	4.82482	422.6	no	no	minion	J.
426.134	498.418	5.98597	432.12	no	no	minion	P.
435.665	498.418	38.7017	474.37	no	no	minion	Townsend,
477.921	498.418	4.82482	482.75	no	no	minion	J.
486.282	498.418	7.72545	494.01	no	no	minion	R.
497.544	498.418	34.223	531.77	no	no	minion	Dettman,
535.312	498.418	13.5321	548.84	no	no	minion	and
327.887	508.876	8.23564	336.12	no	no	minion	D.
339.586	508.876	34.4399	374.03	no	no	minion	Jacobson,
377.49	508.876	42.7312	420.22	no	no	minion	“Eukaryotic
423.691	508.876	35.047	458.74	no	no	minion	microbes,
462.202	508.876	24.7679	486.97	no	no	minion	species
490.438	508.876	41.3979	531.84	no	no	minion	recognition
535.301	508.876	13.5375	548.84	no	no	minion	and
327.887	519.343	11.312	339.2	no	no	minion	the
341.796	519.343	39.5562	381.35	no	no	minion	geographic
383.957	519.343	20.3627	404.32	no	no	minion	limits
406.915	519.343	7.27892	414.19	no	no	minion	of
416.796	519.343	26.8956	443.69	no	no	minion	species:
446.292	519.343	33.1326	479.42	no	no	minion	examples
482.037	519.343	17.8333	499.87	no	no	minion	from
502.463	519.343	11.312	513.78	no	no	minion	the
516.371	519.343	32.4404	548.81	no	no	minion	kingdom
327.887	529.802	25.8241	353.71	no	no	minion	Fungi,”
356.732	529.802	46.1267	402.86	no	yes	minion	Philosophical
405.873	529.802	43.7372	449.61	no	yes	minion	Transactions
452.627	529.802	6.39035	459.02	no	yes	minion	of
462.032	529.802	10.6512	472.68	no	yes	minion	the
475.694	529.802	19.5234	495.22	no	yes	minion	Royal
